"N_curve","n","Uo","TS"
1,1,2.49078295193613,9.73252095876982
1,2,2.49078295193613,-3.72527613957009
1,3,2.49078295193613,3.38252096878492
1,4,2.49078295193613,38.8395516054673
1,5,2.49078295193613,26.266077889663
1,6,2.49078295193613,43.6063135498781
1,7,2.49078295193613,77.5885965701637
1,8,2.49078295193613,76.1029315570228
1,9,2.49078295193613,79.5901283136176
1,10,2.49078295193613,72.7979162074013
1,11,2.49078295193613,89.6221572515442
1,12,2.49078295193613,99.2158103892557
1,13,2.49078295193613,109.208062614387
1,14,2.49078295193613,104.90957111608
1,15,2.49078295193613,97.797011356345
1,16,2.49078295193613,97.3859029433852
1,17,2.49078295193613,112.996738724553
1,18,2.49078295193613,116.243976267634
1,19,2.49078295193613,128.719189206169
1,20,2.49078295193613,106.317491954776
1,21,2.49078295193613,114.192829144969
1,22,2.49078295193613,108.486447135368
1,23,2.49078295193613,127.738372415612
1,24,2.49078295193613,108.332405343773
1,25,2.49078295193613,123.096081731802
1,26,2.49078295193613,96.0551461498866
1,27,2.49078295193613,95.4960482457453
1,28,2.49078295193613,112.512981307829
1,29,2.49078295193613,127.909624905691
1,30,2.49078295193613,106.500985224752
1,31,2.49078295193613,114.729827994485
1,32,2.49078295193613,105.291561974355
1,33,2.49078295193613,129.33100539767
1,34,2.49078295193613,106.606198654144
1,35,2.49078295193613,121.149367175908
1,36,2.49078295193613,85.7129888724813
1,37,2.49078295193613,106.697778157707
1,38,2.49078295193613,97.4060885152364
1,39,2.49078295193613,99.5004372661544
1,40,2.49078295193613,117.058631146043
2,1,1.41382112633437,-6.91170713130775
2,2,1.41382112633437,4.8900239094616
2,3,1.41382112633437,19.7425921058033
2,4,1.41382112633437,27.2208873895047
2,5,1.41382112633437,20.1835616828018
2,6,1.41382112633437,57.1953055106051
2,7,1.41382112633437,80.7103811002974
2,8,1.41382112633437,76.8981170496874
2,9,1.41382112633437,91.8619839781281
2,10,1.41382112633437,84.5307671545332
2,11,1.41382112633437,92.8682990580612
2,12,1.41382112633437,91.3435784792941
2,13,1.41382112633437,103.424269772835
2,14,1.41382112633437,90.4384002625686
2,15,1.41382112633437,98.8330234778642
2,16,1.41382112633437,112.878500712257
2,17,1.41382112633437,107.664301411455
2,18,1.41382112633437,122.578124959819
2,19,1.41382112633437,102.427701718296
2,20,1.41382112633437,129.238352419992
2,21,1.41382112633437,114.001801087742
2,22,1.41382112633437,114.578834888072
2,23,1.41382112633437,98.2254307391451
2,24,1.41382112633437,124.709077473116
2,25,1.41382112633437,130.320370608472
2,26,1.41382112633437,130.293069589816
2,27,1.41382112633437,109.94675147191
2,28,1.41382112633437,118.776687790603
2,29,1.41382112633437,108.425936047263
2,30,1.41382112633437,113.398337348841
2,31,1.41382112633437,119.464917574265
2,32,1.41382112633437,120.501444946789
2,33,1.41382112633437,129.897049408957
2,34,1.41382112633437,131.082987530664
2,35,1.41382112633437,115.244528417324
2,36,1.41382112633437,107.608302303843
2,37,1.41382112633437,107.641541896848
2,38,1.41382112633437,133.798980487083
2,39,1.41382112633437,125.042086007682
2,40,1.41382112633437,116.063697414323
3,1,3.88222541194409,11.2075102796282
3,2,3.88222541194409,13.0264391174511
3,3,3.88222541194409,19.8083019125672
3,4,3.88222541194409,21.9348477526717
3,5,3.88222541194409,41.678344250553
3,6,3.88222541194409,54.2396445255565
3,7,3.88222541194409,55.8658540675112
3,8,3.88222541194409,77.0735551761846
3,9,3.88222541194409,91.3434076669553
3,10,3.88222541194409,109.569558458296
3,11,3.88222541194409,104.702496839836
3,12,3.88222541194409,116.133383705339
3,13,3.88222541194409,104.580362242385
3,14,3.88222541194409,106.84253461652
3,15,3.88222541194409,110.956936447993
3,16,3.88222541194409,115.92791488412
3,17,3.88222541194409,114.992708010856
3,18,3.88222541194409,107.163024155793
3,19,3.88222541194409,105.242423870896
3,20,3.88222541194409,120.981242159628
3,21,3.88222541194409,117.43737161677
3,22,3.88222541194409,117.362232115935
3,23,3.88222541194409,109.072926526966
3,24,3.88222541194409,115.869557992243
3,25,3.88222541194409,133.749647739728
3,26,3.88222541194409,113.134221745003
3,27,3.88222541194409,115.579611048099
3,28,3.88222541194409,118.166846052875
3,29,3.88222541194409,138.832151967378
3,30,3.88222541194409,126.2996802833
3,31,3.88222541194409,116.159877711937
3,32,3.88222541194409,125.278203776232
3,33,3.88222541194409,131.673466938306
3,34,3.88222541194409,125.39889434673
3,35,3.88222541194409,116.351635990413
3,36,3.88222541194409,123.79464337912
3,37,3.88222541194409,135.608174129987
3,38,3.88222541194409,124.614239344231
3,39,3.88222541194409,126.787831646375
3,40,3.88222541194409,110.587634167405
4,1,1.519263809314,-7.20000489065813
4,2,1.519263809314,3.65099511045198
4,3,1.519263809314,25.8113763758795
4,4,1.519263809314,34.1485186264122
4,5,1.519263809314,42.7020558401649
4,6,1.519263809314,42.2156784455487
4,7,1.519263809314,53.4406655483044
4,8,1.519263809314,81.5547520600858
4,9,1.519263809314,91.100088198532
4,10,1.519263809314,87.8013685048446
4,11,1.519263809314,93.3410525104132
4,12,1.519263809314,100.435216576228
4,13,1.519263809314,103.588776109247
4,14,1.519263809314,106.610067153188
4,15,1.519263809314,125.558780057307
4,16,1.519263809314,124.02740867335
4,17,1.519263809314,110.45434539592
4,18,1.519263809314,118.78400666421
4,19,1.519263809314,130.028896899472
4,20,1.519263809314,109.870758245443
4,21,1.519263809314,129.651574487144
4,22,1.519263809314,120.621688944363
4,23,1.519263809314,109.364658331309
4,24,1.519263809314,112.053802891832
4,25,1.519263809314,128.901937321327
